Gender_Person1,Gender_Person2,Personality_Person1,Personality_Person2,Communication_Level,Emotional_Intelligence,Trust_Level,Common_Interests_Score,Physical_Attraction_Score,Mutual_Respect_Score,Conflict_Resolution_Skills,Love_Probability
Male,Male,Introvert,Introvert,Low,Medium,High,3,1,5,Good,0.32
Other,Male,Introvert,Extrovert,High,Low,Medium,0,2,2,Poor,0.02
Other,Female,Extrovert,Introvert,Medium,Medium,High,10,3,2,Excellent,0.52
Male,Female,Introvert,Extrovert,High,High,Low,6,7,0,Good,0.54
Female,Female,Introvert,Extrovert,High,Low,Low,3,10,10,Poor,0.68
Other,Other,Ambivert,Extrovert,Low,Low,Medium,6,7,4,Excellent,0.71
Other,Other,Extrovert,Extrovert,High,High,High,7,10,5,Excellent,0.72
Female,Other,Introvert,Introvert,High,High,Low,0,5,1,Excellent,0.11
Other,Other,Ambivert,Ambivert,Medium,High,Medium,7,2,5,Good,0.57
Male,Female,Extrovert,Extrovert,High,Medium,Low,10,8,9,Poor,0.87
Male,Other,Introvert,Extrovert,Medium,Low,Low,3,9,8,Good,0.74
Other,Male,Introvert,Ambivert,Low,High,Low,2,8,9,Excellent,0.6
Female,Other,Introvert,Ambivert,Low,High,Medium,8,10,6,Poor,0.79
Male,Female,Ambivert,Introvert,Medium,High,Low,3,5,7,Poor,0.55
Male,Male,Ambivert,Ambivert,Low,Medium,Low,3,1,1,Poor,0.2
Female,Other,Ambivert,Ambivert,High,Low,High,10,3,5,Excellent,0.4
Female,Other,Extrovert,Ambivert,High,Medium,High,7,10,0,Good,0.45
Female,Female,Introvert,Ambivert,Low,Low,Medium,9,4,10,Poor,0.86
Other,Other,Extrovert,Introvert,Medium,Medium,Medium,8,6,6,Excellent,0.65
Male,Male,Ambivert,Introvert,Medium,Low,Medium,1,9,4,Poor,0.41
Female,Other,Extrovert,Extrovert,Low,High,High,5,9,5,Good,0.5
Male,Male,Introvert,Ambivert,High,Low,Medium,9,1,5,Good,0.39
Male,Other,Extrovert,Introvert,Low,Low,Medium,1,1,0,Poor,-0.14
Female,Female,Extrovert,Extrovert,High,Low,High,6,3,6,Good,0.49
Other,Other,Introvert,Extrovert,Low,High,Medium,1,7,3,Good,0.31
Male,Male,Introvert,Extrovert,High,Medium,Low,7,8,7,Excellent,0.64
Other,Male,Ambivert,Introvert,High,Low,Low,1,2,8,Excellent,0.36
Female,Male,Ambivert,Ambivert,Low,Low,Low,3,5,4,Poor,0.44
Female,Other,Ambivert,Ambivert,Medium,High,High,1,2,7,Poor,0.54
Female,Other,Extrovert,Introvert,Medium,High,High,1,4,9,Excellent,0.32
Male,Male,Introvert,Ambivert,Low,Medium,High,3,0,6,Poor,0.42
Female,Other,Extrovert,Ambivert,High,High,High,8,1,8,Excellent,0.66
Male,Other,Extrovert,Extrovert,Low,Medium,Low,1,10,0,Excellent,0.29
Male,Male,Ambivert,Introvert,Medium,High,Low,4,0,8,Excellent,0.42
Female,Male,Introvert,Ambivert,Medium,Medium,High,6,10,8,Good,0.75
Other,Female,Ambivert,Ambivert,High,High,High,4,9,9,Poor,0.75
Female,Male,Introvert,Ambivert,High,High,Medium,3,10,4,Poor,0.72
Female,Female,Introvert,Ambivert,High,Medium,Medium,2,1,0,Good,0.16
Female,Male,Introvert,Introvert,Medium,Medium,High,1,0,10,Good,0.42
Male,Male,Introvert,Introvert,Medium,Medium,Medium,7,9,4,Excellent,0.62
Male,Other,Extrovert,Introvert,Low,Low,High,10,3,9,Good,0.58
Female,Other,Extrovert,Introvert,Low,High,Medium,6,1,8,Poor,0.48
Other,Other,Ambivert,Extrovert,Low,Low,Medium,7,6,7,Poor,0.79
Female,Female,Introvert,Introvert,Low,Medium,Medium,10,1,2,Excellent,0.28
Other,Other,Introvert,Ambivert,Low,High,Low,7,10,10,Excellent,0.79
Male,Female,Ambivert,Extrovert,High,High,Medium,5,1,9,Good,0.51
Female,Female,Ambivert,Ambivert,Medium,Low,High,10,7,3,Good,0.57
Male,Other,Ambivert,Ambivert,High,Medium,Low,10,6,4,Poor,0.59
Other,Male,Introvert,Ambivert,Low,High,Medium,7,5,8,Good,0.62
Other,Male,Ambivert,Introvert,Low,Low,Medium,3,10,6,Poor,0.5
Male,Male,Extrovert,Extrovert,Medium,Low,High,3,9,2,Good,0.37
Male,Other,Ambivert,Extrovert,Medium,High,Medium,3,8,5,Good,0.6
Female,Male,Introvert,Introvert,Low,Medium,Low,1,5,3,Good,0.17
Other,Other,Extrovert,Introvert,High,Low,Medium,5,10,10,Good,0.67
Other,Female,Introvert,Ambivert,Medium,Medium,Medium,0,7,8,Poor,0.44
Other,Other,Extrovert,Extrovert,Medium,Low,Low,8,8,9,Excellent,0.91
Other,Other,Ambivert,Introvert,High,High,Low,0,7,2,Poor,0.28
Other,Male,Extrovert,Introvert,Low,Medium,Medium,1,1,2,Good,0.09
Female,Male,Ambivert,Extrovert,Medium,Low,Medium,8,0,4,Excellent,0.4
Male,Other,Extrovert,Ambivert,Medium,Medium,Medium,1,8,6,Good,0.33
Female,Male,Extrovert,Introvert,Medium,Medium,Medium,0,4,9,Poor,0.48
Female,Female,Introvert,Introvert,High,High,Low,7,7,0,Excellent,0.51
Male,Male,Extrovert,Extrovert,High,Low,Medium,10,4,3,Excellent,0.53
Female,Male,Introvert,Extrovert,Medium,Low,Medium,8,9,9,Good,0.97
Other,Female,Ambivert,Ambivert,High,High,Low,0,4,3,Poor,0.12
Male,Female,Extrovert,Ambivert,Low,Low,Low,9,9,2,Good,0.78
Female,Other,Introvert,Extrovert,Medium,High,Medium,8,1,1,Poor,0.35
Male,Male,Introvert,Ambivert,Medium,Medium,High,2,3,1,Good,0.17
Female,Other,Extrovert,Extrovert,High,Low,High,2,7,5,Poor,0.46
Male,Female,Introvert,Introvert,High,Medium,High,7,4,3,Poor,0.46
Male,Female,Extrovert,Ambivert,Medium,Medium,High,5,3,6,Excellent,0.59
Female,Male,Ambivert,Ambivert,High,High,High,1,5,4,Excellent,0.23
Other,Male,Introvert,Ambivert,High,Low,High,0,6,0,Good,0.12
Male,Male,Ambivert,Extrovert,Low,Low,High,0,0,5,Excellent,0.27
Male,Male,Ambivert,Extrovert,Medium,High,Low,6,7,10,Excellent,0.71
Other,Female,Introvert,Ambivert,Medium,Low,High,5,6,1,Excellent,0.49
Female,Male,Ambivert,Extrovert,Low,Low,Low,9,4,4,Poor,0.74
Male,Female,Ambivert,Introvert,Low,Medium,Medium,5,3,7,Good,0.46
Other,Male,Extrovert,Ambivert,High,Low,Low,9,5,0,Poor,0.53
Male,Female,Ambivert,Ambivert,Low,Medium,High,2,3,2,Excellent,0.12
Female,Other,Extrovert,Ambivert,High,Medium,Low,0,3,10,Poor,0.51
Other,Female,Ambivert,Introvert,Low,Low,High,5,0,7,Good,0.42
Male,Female,Ambivert,Ambivert,Low,High,Low,10,10,7,Excellent,0.95
Female,Female,Extrovert,Introvert,Medium,High,Medium,7,7,7,Good,0.64
Female,Female,Extrovert,Ambivert,Medium,Medium,Low,3,0,4,Good,0.07
Female,Male,Introvert,Extrovert,High,Medium,Low,8,8,2,Good,0.65
Female,Other,Extrovert,Introvert,Low,Low,Medium,5,5,3,Good,0.23
Female,Other,Introvert,Ambivert,Medium,Low,Medium,10,6,0,Poor,0.5
Male,Male,Introvert,Introvert,Medium,High,Medium,2,5,4,Good,0.46
Other,Male,Ambivert,Extrovert,High,High,Medium,0,9,9,Excellent,0.62
Male,Other,Ambivert,Extrovert,Medium,High,Medium,9,2,6,Excellent,0.76
Female,Other,Introvert,Ambivert,Medium,Medium,High,1,10,6,Excellent,0.67
Male,Male,Extrovert,Introvert,Low,High,Low,10,9,4,Excellent,0.7
Other,Other,Ambivert,Ambivert,Low,Medium,Medium,2,7,8,Poor,0.57
Female,Male,Ambivert,Introvert,Medium,High,Medium,9,4,9,Good,0.73
Other,Female,Extrovert,Extrovert,Low,Low,Low,5,9,5,Good,0.48
Other,Other,Introvert,Introvert,Medium,Low,High,1,7,4,Poor,0.31
Other,Other,Introvert,Extrovert,Low,High,Low,3,2,2,Poor,0.18
Female,Male,Introvert,Introvert,Low,High,Medium,10,2,7,Good,0.43
Male,Female,Extrovert,Extrovert,Low,High,Low,4,0,4,Poor,0.27
Female,Female,Ambivert,Extrovert,High,High,High,8,6,3,Poor,0.54
Male,Male,Introvert,Extrovert,High,High,Low,2,8,9,Excellent,0.47
Male,Female,Ambivert,Extrovert,Low,Low,Medium,9,5,2,Poor,0.57
Other,Male,Extrovert,Extrovert,Medium,Medium,Medium,2,3,9,Excellent,0.54
Female,Other,Extrovert,Introvert,High,Low,Medium,3,2,7,Poor,0.42
Male,Other,Extrovert,Ambivert,Low,High,High,5,1,0,Excellent,0.17
Male,Female,Introvert,Extrovert,Medium,High,High,4,3,10,Poor,0.63
Female,Other,Ambivert,Extrovert,Low,Low,Medium,5,3,7,Excellent,0.57
Female,Female,Extrovert,Introvert,High,High,Medium,2,0,8,Poor,0.36
Other,Male,Introvert,Ambivert,Medium,High,High,10,9,5,Excellent,0.72
Female,Other,Introvert,Introvert,Medium,Medium,High,1,2,9,Good,0.43
Male,Female,Introvert,Ambivert,Medium,Low,Medium,0,2,10,Poor,0.52
Female,Other,Extrovert,Ambivert,Low,Low,High,8,2,6,Poor,0.47
Other,Male,Introvert,Ambivert,High,Medium,High,2,0,8,Poor,0.54
Other,Female,Introvert,Introvert,High,Low,Low,4,5,2,Excellent,0.31
Other,Other,Ambivert,Extrovert,Low,Medium,High,2,3,3,Excellent,0.27
Female,Other,Ambivert,Ambivert,Low,Medium,Medium,1,7,5,Good,0.37
Other,Male,Introvert,Introvert,High,High,Low,8,8,0,Good,0.56
Male,Other,Extrovert,Introvert,Medium,Medium,High,2,4,1,Excellent,0.06
Male,Male,Extrovert,Ambivert,Low,Low,Medium,7,10,5,Poor,0.68
Other,Female,Extrovert,Extrovert,Low,Low,Medium,0,9,5,Poor,0.36
Male,Female,Extrovert,Introvert,Medium,Low,Medium,2,3,6,Good,0.38
Other,Female,Ambivert,Extrovert,High,Medium,High,8,6,5,Excellent,0.73
Other,Male,Extrovert,Ambivert,High,High,Medium,3,10,8,Good,0.76
Other,Female,Introvert,Ambivert,Low,Medium,Medium,2,1,7,Good,0.1
Female,Other,Introvert,Extrovert,Low,High,Low,4,1,6,Poor,0.57
Female,Female,Extrovert,Introvert,Medium,Low,Low,8,10,6,Poor,0.83
Other,Other,Ambivert,Extrovert,Low,Medium,Medium,4,9,1,Excellent,0.39
Male,Female,Ambivert,Extrovert,Medium,Low,High,6,4,1,Poor,0.38
Female,Other,Introvert,Ambivert,Low,Medium,Low,9,5,3,Good,0.58
Female,Male,Introvert,Introvert,Medium,Low,High,1,6,4,Good,0.3
Other,Other,Ambivert,Ambivert,High,Medium,High,7,8,0,Good,0.52
Female,Male,Extrovert,Introvert,Medium,Low,Low,3,6,5,Excellent,0.41
Other,Female,Extrovert,Extrovert,Low,High,Medium,9,2,0,Excellent,0.33
Other,Other,Introvert,Extrovert,High,Medium,Medium,1,2,5,Good,0.2
Female,Male,Introvert,Introvert,High,High,High,8,5,7,Poor,0.52
Other,Other,Extrovert,Ambivert,High,Medium,High,2,4,2,Good,0.28
Female,Female,Introvert,Introvert,Low,Low,Low,0,5,7,Poor,0.46
Male,Female,Ambivert,Ambivert,High,Low,High,0,3,4,Excellent,0.28
Male,Other,Extrovert,Extrovert,Low,High,High,9,8,5,Good,0.82
Other,Other,Extrovert,Ambivert,Low,Low,Medium,7,0,7,Excellent,0.5
Female,Male,Introvert,Extrovert,Medium,Medium,High,4,3,3,Good,0.28
Male,Male,Extrovert,Ambivert,Low,High,Low,10,7,4,Good,0.78
Male,Female,Ambivert,Extrovert,High,Low,Low,10,6,3,Poor,0.5
Other,Female,Extrovert,Introvert,High,Medium,Medium,7,4,0,Poor,0.28
Female,Female,Extrovert,Ambivert,Medium,Medium,High,8,2,4,Poor,0.37
Other,Female,Extrovert,Introvert,Medium,High,Medium,8,5,3,Poor,0.64
Male,Female,Introvert,Ambivert,Low,Low,Low,8,7,2,Good,0.66
Male,Other,Extrovert,Ambivert,Low,High,High,10,2,2,Excellent,0.52
Other,Male,Ambivert,Ambivert,Low,High,High,5,9,0,Excellent,0.57
Female,Other,Introvert,Introvert,High,Low,Low,0,4,4,Poor,0.18
Female,Female,Extrovert,Extrovert,Medium,High,Medium,10,4,1,Poor,0.53
Female,Other,Ambivert,Extrovert,Medium,High,Medium,5,6,8,Poor,0.62
Male,Other,Introvert,Introvert,Medium,Low,Low,4,5,7,Poor,0.62
Female,Female,Ambivert,Extrovert,Medium,Medium,Medium,6,6,6,Good,0.59
Female,Female,Introvert,Ambivert,Medium,High,High,8,10,5,Poor,0.73
Male,Other,Extrovert,Extrovert,Medium,Medium,High,1,7,5,Excellent,0.49
Female,Other,Ambivert,Ambivert,Low,Medium,Low,2,9,8,Poor,0.72
Female,Male,Extrovert,Extrovert,Medium,Low,Medium,2,2,0,Good,0.07
Male,Other,Ambivert,Ambivert,Medium,Low,High,6,9,2,Poor,0.56
Other,Female,Ambivert,Introvert,Low,Low,Medium,10,4,0,Excellent,0.36
Female,Female,Introvert,Extrovert,Medium,Medium,High,9,0,3,Excellent,0.15
Male,Female,Introvert,Introvert,High,High,Low,3,9,3,Excellent,0.52
Male,Male,Introvert,Introvert,Low,Medium,Low,0,6,5,Good,0.43
Other,Other,Extrovert,Extrovert,Low,Medium,Medium,5,2,4,Good,0.39
Male,Other,Extrovert,Introvert,Medium,High,Medium,3,6,9,Good,0.41
Female,Female,Extrovert,Ambivert,Low,High,Medium,1,7,9,Poor,0.53
Male,Other,Ambivert,Extrovert,Low,High,Low,3,5,5,Good,0.21
Female,Other,Extrovert,Introvert,Low,High,Low,9,5,8,Good,0.87
Other,Female,Introvert,Extrovert,Low,Low,High,5,10,6,Excellent,0.59
Other,Male,Ambivert,Ambivert,Low,Low,High,6,2,4,Good,0.53
Other,Female,Ambivert,Extrovert,Medium,Low,High,9,3,6,Poor,0.69
Other,Female,Introvert,Extrovert,Low,Medium,High,7,9,7,Excellent,0.68
Female,Female,Ambivert,Ambivert,Low,High,High,0,2,10,Good,0.29
Male,Other,Introvert,Ambivert,Low,Medium,Low,10,2,0,Excellent,0.44
Other,Other,Extrovert,Introvert,High,High,High,5,10,1,Poor,0.45
Male,Other,Extrovert,Extrovert,Low,Medium,High,4,4,6,Poor,0.48
Male,Male,Introvert,Introvert,Medium,Medium,Medium,6,3,10,Excellent,0.59
Other,Male,Ambivert,Extrovert,High,Low,High,4,3,2,Good,0.12
Male,Female,Introvert,Ambivert,Low,High,Medium,0,3,0,Poor,-0.12
Female,Female,Extrovert,Ambivert,Low,Medium,High,10,4,2,Excellent,0.56
Male,Female,Ambivert,Extrovert,High,Medium,High,7,4,5,Excellent,0.48
Other,Other,Introvert,Ambivert,High,High,Low,0,9,10,Poor,0.58
Other,Female,Introvert,Introvert,Medium,Medium,High,4,3,1,Excellent,0.34
Other,Male,Extrovert,Extrovert,High,Low,Low,2,3,10,Good,0.62
Other,Other,Introvert,Introvert,Medium,Medium,Low,10,3,7,Good,0.64
Female,Female,Extrovert,Extrovert,Medium,High,Medium,2,7,5,Good,0.43
Male,Female,Extrovert,Extrovert,Low,High,Medium,7,1,2,Good,0.38
Female,Female,Introvert,Extrovert,Low,High,Low,3,9,2,Poor,0.33
Female,Male,Extrovert,Ambivert,High,High,High,5,0,10,Excellent,0.52
Male,Female,Introvert,Ambivert,High,Low,High,6,2,7,Poor,0.56
Other,Other,Ambivert,Ambivert,Medium,Low,High,4,7,7,Excellent,0.67
Male,Other,Ambivert,Introvert,High,Low,Low,0,3,7,Excellent,0.14
Other,Other,Introvert,Introvert,Medium,Medium,Low,3,9,5,Good,0.49
Female,Other,Introvert,Extrovert,High,High,Low,1,6,10,Excellent,0.48
Male,Male,Ambivert,Extrovert,Low,Low,Low,5,9,1,Excellent,0.51
Male,Other,Extrovert,Extrovert,High,Medium,Medium,3,6,4,Good,0.48
Female,Male,Introvert,Ambivert,Low,Medium,Low,1,4,2,Excellent,0.38
Other,Other,Introvert,Ambivert,High,Medium,Low,2,2,7,Good,0.32
Other,Other,Introvert,Extrovert,High,Medium,Low,0,10,8,Good,0.55
Other,Female,Ambivert,Extrovert,High,High,Low,3,3,8,Good,0.58
Male,Male,Introvert,Introvert,Low,High,High,10,6,3,Poor,0.66
Male,Female,Ambivert,Ambivert,Medium,Low,Medium,7,5,4,Good,0.66
Female,Other,Extrovert,Introvert,Medium,High,Low,10,4,7,Poor,0.73
Male,Male,Extrovert,Extrovert,Medium,Low,High,3,2,4,Good,0.18
Female,Other,Ambivert,Extrovert,Low,Medium,High,5,4,6,Poor,0.37
Male,Female,Introvert,Extrovert,Medium,Medium,High,5,1,8,Good,0.31
Male,Other,Extrovert,Extrovert,Low,Low,Medium,5,9,5,Poor,0.7
Female,Female,Extrovert,Introvert,High,Low,High,3,7,5,Excellent,0.62
Male,Other,Extrovert,Ambivert,Medium,Low,Medium,10,2,1,Excellent,0.62
Other,Male,Introvert,Introvert,Medium,High,Low,4,5,5,Good,0.55
Other,Other,Extrovert,Ambivert,High,Medium,Low,2,3,7,Good,0.52
Female,Male,Extrovert,Introvert,Medium,High,Medium,4,3,0,Excellent,0.18
Other,Female,Introvert,Ambivert,High,High,Medium,2,2,9,Poor,0.32
Male,Male,Introvert,Ambivert,High,Medium,Low,2,4,10,Excellent,0.62
Other,Male,Introvert,Ambivert,Low,Medium,High,1,10,10,Good,0.74
Other,Female,Introvert,Ambivert,Medium,High,Medium,6,10,10,Poor,0.88
Other,Female,Introvert,Ambivert,High,Low,Medium,8,3,10,Poor,0.74
Female,Female,Extrovert,Extrovert,Low,Low,High,0,7,8,Excellent,0.53
Female,Female,Extrovert,Extrovert,Medium,Medium,Low,4,8,3,Good,0.63
Other,Male,Ambivert,Ambivert,Low,Medium,High,8,6,8,Excellent,0.86
Other,Other,Extrovert,Ambivert,High,Low,Medium,5,9,2,Good,0.59
Other,Female,Introvert,Ambivert,Medium,High,Medium,6,9,2,Excellent,0.65
Male,Female,Extrovert,Ambivert,High,Medium,High,10,4,6,Poor,0.72
Other,Other,Ambivert,Introvert,Medium,High,Low,10,4,7,Excellent,0.65
Male,Other,Ambivert,Introvert,Medium,Low,Medium,6,6,6,Excellent,0.68
Male,Female,Introvert,Extrovert,Low,Low,Low,6,1,8,Excellent,0.36
Female,Other,Extrovert,Introvert,Low,Low,Medium,8,8,7,Poor,0.87
Male,Female,Extrovert,Ambivert,Medium,High,High,10,10,10,Poor,0.88
Female,Male,Ambivert,Extrovert,Low,Low,Medium,6,1,3,Poor,0.36
Female,Female,Introvert,Ambivert,Low,High,Low,10,3,1,Poor,0.38
Male,Other,Introvert,Introvert,Medium,Low,Low,3,4,7,Good,0.52
Other,Male,Introvert,Ambivert,High,Medium,Medium,9,3,10,Poor,0.73
Other,Male,Introvert,Ambivert,High,High,High,1,6,3,Excellent,0.17
Other,Female,Introvert,Introvert,High,Low,High,3,9,1,Good,0.48
Male,Male,Introvert,Introvert,High,Medium,Low,10,3,10,Excellent,0.71
Female,Male,Ambivert,Ambivert,High,High,High,7,0,2,Excellent,0.39
Male,Other,Ambivert,Extrovert,Medium,High,High,1,2,9,Good,0.4
Other,Male,Introvert,Introvert,Low,Medium,Medium,10,5,6,Poor,0.74
Other,Other,Introvert,Introvert,Low,High,Low,1,10,9,Poor,0.57
Other,Male,Extrovert,Extrovert,Medium,High,High,4,4,8,Excellent,0.47
Female,Male,Ambivert,Extrovert,High,Medium,High,5,4,7,Good,0.49
Female,Other,Introvert,Introvert,Medium,Low,High,8,7,0,Excellent,0.59
Female,Male,Ambivert,Introvert,High,Medium,High,0,9,3,Poor,0.57
Other,Other,Ambivert,Introvert,Low,Low,High,4,10,9,Poor,0.69
Male,Male,Introvert,Introvert,High,Medium,Low,10,0,0,Good,0.44
Other,Other,Introvert,Introvert,Medium,Low,High,8,3,2,Poor,0.22
Other,Female,Introvert,Ambivert,Medium,Medium,High,5,2,10,Excellent,0.45
Male,Male,Introvert,Introvert,High,Medium,Medium,9,5,4,Excellent,0.5
Other,Other,Introvert,Introvert,Medium,Medium,Low,0,1,1,Good,-0.07
Female,Other,Introvert,Introvert,Medium,Medium,Low,8,6,2,Poor,0.37
Male,Male,Extrovert,Introvert,Medium,High,Low,6,4,2,Good,0.44
Female,Male,Introvert,Introvert,High,High,Low,9,4,1,Good,0.45
Other,Female,Introvert,Ambivert,High,Medium,Low,0,5,3,Excellent,0.3
Other,Other,Extrovert,Introvert,High,Low,Medium,0,7,5,Good,0.47
Male,Other,Extrovert,Ambivert,Medium,High,Low,4,6,7,Good,0.59
Male,Male,Extrovert,Ambivert,Medium,Medium,Medium,9,7,0,Poor,0.6
Male,Other,Ambivert,Ambivert,High,High,Low,7,6,4,Poor,0.56
Female,Male,Extrovert,Ambivert,High,Medium,Medium,0,1,7,Excellent,0.15
Female,Male,Extrovert,Ambivert,Low,Medium,High,2,8,2,Poor,0.51
Male,Male,Ambivert,Ambivert,High,High,High,5,1,1,Excellent,0.17
Male,Male,Extrovert,Introvert,Medium,High,Medium,8,0,1,Poor,0.21
Other,Male,Extrovert,Introvert,High,Medium,High,6,5,1,Excellent,0.38
Other,Female,Ambivert,Ambivert,Medium,Medium,High,1,7,0,Poor,0.18
Female,Female,Ambivert,Extrovert,Medium,Low,Medium,8,8,6,Excellent,0.69
Other,Other,Introvert,Introvert,Medium,High,Medium,10,9,0,Good,0.67
Other,Female,Ambivert,Ambivert,High,High,Low,10,8,1,Poor,0.67
Male,Male,Introvert,Extrovert,Medium,Low,Medium,7,6,7,Good,0.58
Female,Male,Ambivert,Extrovert,High,Medium,Low,6,0,1,Good,0.18
Male,Other,Introvert,Introvert,Medium,Medium,Medium,5,1,7,Good,0.54
Male,Male,Introvert,Ambivert,High,Low,High,4,5,3,Good,0.45
Female,Other,Introvert,Extrovert,Medium,Low,High,5,3,2,Excellent,0.54
Other,Female,Ambivert,Ambivert,Low,Low,High,8,4,8,Poor,0.78
Other,Female,Introvert,Extrovert,Low,Low,Medium,2,7,2,Poor,0.48
Other,Male,Introvert,Ambivert,Low,Medium,Low,7,10,10,Excellent,0.76
Male,Other,Extrovert,Introvert,Low,High,Low,8,6,10,Good,0.88
Male,Other,Ambivert,Ambivert,Medium,Medium,Medium,8,4,4,Excellent,0.53
Other,Female,Introvert,Ambivert,Low,High,Medium,6,10,5,Excellent,0.64
Other,Male,Ambivert,Introvert,Low,Low,Low,6,10,7,Good,0.78
Male,Male,Extrovert,Introvert,Medium,High,High,4,0,6,Poor,0.43
Male,Male,Introvert,Extrovert,Medium,High,High,4,0,1,Good,0.22
Other,Male,Introvert,Extrovert,Medium,Low,High,4,5,2,Good,0.28
Male,Female,Introvert,Ambivert,Low,Medium,High,3,3,5,Good,0.44
Male,Female,Extrovert,Extrovert,Medium,Medium,Low,1,10,4,Excellent,0.44
Female,Female,Introvert,Introvert,High,High,Medium,5,4,9,Good,0.62
Female,Other,Extrovert,Extrovert,Low,Medium,High,1,10,8,Poor,0.6
Other,Female,Introvert,Ambivert,Medium,Medium,High,8,1,5,Excellent,0.44
Male,Other,Introvert,Introvert,Medium,Medium,Medium,10,9,2,Good,0.78
Other,Female,Extrovert,Introvert,Low,Low,Low,7,2,4,Good,0.33
Other,Male,Extrovert,Introvert,Low,Low,Low,8,7,5,Poor,0.86
Other,Male,Extrovert,Introvert,High,High,Medium,5,1,4,Good,0.15
Other,Male,Ambivert,Introvert,Medium,Medium,Low,2,10,3,Excellent,0.44
Female,Female,Ambivert,Introvert,Medium,Medium,Low,3,1,0,Poor,0.17
Other,Male,Introvert,Extrovert,Medium,Medium,High,7,8,10,Poor,0.89
Female,Male,Extrovert,Introvert,Low,High,Low,1,4,10,Good,0.49
Male,Female,Extrovert,Ambivert,Low,Low,Medium,1,0,6,Poor,0.23
Other,Female,Introvert,Ambivert,Medium,Medium,Low,1,2,1,Poor,0.17
Female,Other,Ambivert,Ambivert,High,Medium,Medium,0,6,1,Good,0.21
Female,Male,Extrovert,Ambivert,High,High,High,2,5,0,Excellent,0.37
Other,Male,Introvert,Extrovert,High,High,Medium,0,2,7,Excellent,0.38
Other,Other,Ambivert,Extrovert,Low,High,Low,2,1,2,Excellent,0.25
Other,Female,Introvert,Extrovert,Low,Low,Low,8,4,2,Good,0.37
Male,Female,Ambivert,Extrovert,Medium,Low,Low,10,7,8,Good,0.83
Male,Male,Introvert,Ambivert,High,Medium,High,4,4,2,Good,0.3
Female,Male,Ambivert,Extrovert,High,Medium,High,3,8,6,Excellent,0.47
Other,Female,Ambivert,Extrovert,High,Low,Low,5,9,9,Good,0.8
Female,Female,Ambivert,Extrovert,Low,Medium,High,7,9,8,Excellent,0.75
Other,Male,Introvert,Extrovert,Medium,Medium,Medium,9,7,10,Poor,0.93
Other,Other,Introvert,Extrovert,Medium,Medium,High,7,4,10,Excellent,0.59
Male,Female,Ambivert,Introvert,Low,Medium,Low,10,8,1,Good,0.81
Male,Female,Introvert,Ambivert,High,High,Medium,6,0,2,Poor,0.18
Female,Other,Ambivert,Extrovert,Low,Low,Medium,6,0,9,Good,0.52
Male,Female,Extrovert,Ambivert,Medium,Medium,High,7,5,1,Excellent,0.51
Male,Male,Introvert,Ambivert,Medium,High,Medium,2,10,2,Good,0.41
Female,Other,Extrovert,Introvert,Low,High,High,4,5,9,Good,0.69
Male,Other,Extrovert,Ambivert,Low,High,Medium,6,5,3,Good,0.34
Male,Female,Ambivert,Introvert,Medium,Medium,Low,9,5,0,Good,0.61
Other,Female,Ambivert,Extrovert,Medium,Medium,High,7,4,8,Poor,0.63
Other,Female,Ambivert,Ambivert,High,Medium,High,2,2,5,Poor,0.24
Other,Female,Extrovert,Extrovert,Low,Low,High,1,10,7,Good,0.57
Male,Male,Extrovert,Ambivert,Low,High,Low,4,9,10,Good,0.85
Female,Male,Introvert,Ambivert,Medium,Medium,Medium,10,9,9,Poor,0.87
Male,Male,Introvert,Introvert,Low,Low,Medium,4,0,7,Excellent,0.29
Male,Other,Extrovert,Introvert,Medium,Low,Low,1,2,4,Excellent,0.21
Female,Other,Ambivert,Extrovert,Medium,Medium,High,8,5,1,Poor,0.35
Male,Other,Ambivert,Extrovert,Medium,Low,High,5,2,9,Good,0.72
Female,Male,Extrovert,Introvert,Low,Medium,Low,2,0,4,Excellent,0.14
Other,Female,Introvert,Introvert,Medium,High,High,4,6,1,Excellent,0.45
Other,Other,Extrovert,Ambivert,Medium,High,Medium,2,8,2,Poor,0.42
Female,Female,Ambivert,Introvert,Low,High,Low,8,0,4,Excellent,0.3
Other,Other,Introvert,Extrovert,High,Medium,High,3,3,10,Excellent,0.53
Male,Other,Extrovert,Extrovert,Medium,High,Low,10,4,3,Good,0.65
Other,Female,Introvert,Ambivert,High,Low,High,10,9,3,Excellent,0.71
Male,Female,Ambivert,Ambivert,High,Low,High,10,1,0,Poor,0.49
Male,Female,Extrovert,Ambivert,Low,Medium,Medium,7,7,7,Excellent,0.8
Female,Female,Extrovert,Extrovert,Medium,Medium,Medium,4,5,9,Excellent,0.69
Male,Female,Ambivert,Introvert,Low,Medium,Low,4,3,5,Poor,0.35
Other,Male,Introvert,Introvert,High,Medium,Low,3,9,5,Good,0.46
Male,Male,Introvert,Ambivert,Low,Low,High,3,3,3,Poor,0.24
Male,Male,Extrovert,Ambivert,Low,High,Medium,10,8,5,Good,0.79
Other,Male,Extrovert,Introvert,High,Medium,Medium,0,6,2,Good,0.32
Male,Female,Extrovert,Extrovert,Low,High,Medium,10,1,4,Good,0.28
Other,Female,Extrovert,Introvert,High,Medium,Medium,8,3,4,Poor,0.5
Male,Female,Ambivert,Ambivert,Medium,High,High,2,9,4,Excellent,0.52
